ID,TYPE,NAME,PHASE,LEVEL_BAND,REGION,MAP,DEPENDENCIES,SYSTEM_STATUS,CONTENT_STATUS,ART_STATUS,MOBILE_STATUS,PRIORITY,NOTES
SKILL_C02_03,SKILL_FAMILY,Ranger Utility,EARLY,15-60,,,CLS_02,PLANNED,LOCKED,MISSING,PLANNED,P1,Four active skill identities
SKILL_C03_01,SKILL_FAMILY,Arcanist Bolt,MID,1-60,,,CLS_03,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Four active skill identities
SKILL_C03_02,SKILL_FAMILY,Arcanist Channel,MID,10-60,,,CLS_03,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Four active skill identities
SKILL_C03_03,SKILL_FAMILY,Arcanist Utility,MID,15-60,,,CLS_03,PLANNED,LOCKED,MISSING,PLANNED,P1,Four active skill identities
SKILL_C04_01,SKILL_FAMILY,Warden Bloom,MID,1-60,,,CLS_04,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Four active skill identities
SKILL_C04_02,SKILL_FAMILY,Warden Ward,MID,10-60,,,CLS_04,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Four active skill identities
SKILL_C04_03,SKILL_FAMILY,Warden Utility,MID,15-60,,,CLS_04,PLANNED,LOCKED,MISSING,PLANNED,P1,Four active skill identities
EQ_T01,EQUIPMENT_SET,Wayfarer,EARLY,1-10,R01,,CLS_01..04,PARTIAL,LOCKED,REWORK,PARTIAL,P0,M04.31B exact attack overlays required
EQ_T02,EQUIPMENT_SET,Amberforged,EARLY,11-20,R01;R02,,EQ_T01,PLANNED,LOCKED,PARTIAL,PLANNED,P1,
EQ_T03,EQUIPMENT_SET,Briarbound,MID,21-30,R02;R03,,EQ_T02,PLANNED,LOCKED,PARTIAL,PLANNED,P1,
EQ_T04,EQUIPMENT_SET,Sunmere,MID,31-40,R03;R04,,EQ_T03,PLANNED,LOCKED,PARTIAL,PLANNED,P1,
EQ_T05,EQUIPMENT_SET,Cinderpeak,LATE,41-50,R04;R05,,EQ_T04,PLANNED,LOCKED,PARTIAL,PLANNED,P1,
EQ_T06,EQUIPMENT_SET,Starfall,LATE,51-60,R05,,EQ_T05,PLANNED,LOCKED,PARTIAL,PLANNED,P1,
PET_01,PET,Amber Pup,EARLY,8-60,R01,,QARC_R01_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
PET_02,PET,Molekin,EARLY,12-60,R01,,DGN_01,PLANNED,LOCKED,MISSING,PLANNED,P1,
PET_03,PET,Briarling,EARLY,20-60,R02,,QARC_R02_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
PET_04,PET,Coral Sprite,MID,30-60,R03,,QARC_R03_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
PET_05,PET,Ember Newt,MID,42-60,R04,,QARC_R04_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
PET_06,PET,Glow Moth,LATE,52-60,R05,,QARC_R05_SIDE,PLANNED,LOCKED,MISSING,PLANNED,P1,
PET_07,PET,Star Wisp,LATE,58-60,R05,,DGN_06,PLANNED,LOCKED,MISSING,PLANNED,P1,
PET_08,PET,Raidling,ENDGAME,60,,,RAID_03,PLANNED,LOCKED,MISSING,PLANNED,P2,
PARTNER_01,PARTNER,Rook the Vanguard,EARLY,15-60,R01,,QARC_R01_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
PARTNER_02,PARTNER,Lysa the Ranger,EARLY,24-60,R02,,QARC_R02_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
PARTNER_03,PARTNER,Orren the Arcanist,MID,36-60,R03,,QARC_R03_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
PARTNER_04,PARTNER,Mira the Warden,LATE,48-60,R04,,QARC_R04_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
FAIRY_01,FAIRY,Amber Fairy,EARLY,10-60,R01,,QARC_R01_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
FAIRY_02,FAIRY,Briar Fairy,EARLY,20-60,R02,,QARC_R02_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
FAIRY_03,FAIRY,Tide Fairy,MID,30-60,R03,,QARC_R03_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
FAIRY_04,FAIRY,Ember Fairy,MID,40-60,R04,,QARC_R04_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
FAIRY_05,FAIRY,Star Fairy,LATE,50-60,R05,,QARC_R05_MAIN,PLANNED,LOCKED,MISSING,PLANNED,P1,
FAIRY_06,FAIRY,Astral Fairy,ENDGAME,60,,,RAID_03,PLANNED,LOCKED,MISSING,PLANNED,P1,
PVP_01,PVP_MODE,Duel,EARLY,10-60,,,CLS_01..04,PLANNED,LOCKED,PARTIAL,PLANNED,P2,1v1
PVP_02,PVP_MODE,Triad Arena,MID,30-60,,,CLS_01..04,PLANNED,LOCKED,MISSING,PLANNED,P2,3v3
PVP_03,PVP_MODE,Bramblefront,ENDGAME,60,,,CLS_01..04,PLANNED,LOCKED,MISSING,PLANNED,P2,8v8
END_01,ENDGAME_ACTIVITY,Astral Raids,ENDGAME,60,,,RAID_01..03,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Three raids
END_02,ENDGAME_ACTIVITY,Mythic Dungeons,ENDGAME,60,,,DGN_01..06,PLANNED,LOCKED,MISSING,PLANNED,P1,Difficulty ladder
END_03,ENDGAME_ACTIVITY,Ranked PvP,ENDGAME,60,,,PVP_02;PVP_03,PLANNED,LOCKED,MISSING,PLANNED,P2,Seasonal ladder
END_04,ENDGAME_ACTIVITY,Starfall Gear Pursuit,ENDGAME,60,,,EQ_T06,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Upgrade and set completion
END_05,ENDGAME_ACTIVITY,Collection Chronicle,ENDGAME,60,,,PET_01..08;FAIRY_01..06,PLANNED,LOCKED,MISSING,PLANNED,P2,Companion and cosmetic goals
