ASSET_ID,CONTENT_ID,CATEGORY,SUBCATEGORY,REGION,MAP,LEVEL_BAND,CLASS,SP,DESCRIPTION,PURPOSE,PRIORITY,PHASE,STATUS,EXISTING_SOURCE,NEW_ASSET_REQUIRED,VARIANT_COUNT,DIRECTION_COUNT,STATE,FRAME_OR_KEYPOSE_COUNT,TOTAL_EXPECTED_OUTPUT_FILES,SOURCE_RESOLUTION,RUNTIME_RESOLUTION_POLICY,TRANSPARENCY,PIVOT,MIRROR_ALLOWED,LAYERING,SOCKETS,VFX_REQUIRED,ICON_REQUIRED,PORTRAIT_REQUIRED,GODOT_PROCEDURAL_SUPPORT,MOBILE_COST_CLASS,ATLAS_ELIGIBLE,LOD_REQUIRED,DEPENDENCIES,TARGET_PATH,VISUAL_SPEC_ID,CREATION_CARD_ID,POSE_SPEC,FACING_SPEC,SUBJECT_SCALE,SUBJECT_BOUNDS,GROUND_CONTACT,HEAD_SOCKET,MAIN_HAND_SOCKET,OFFHAND_SOCKET,VFX_SOCKET,DEPTH_POLICY,ANIMATION_TIMING_PROFILE,REFERENCE_ASSET_IDS,ROTATION_CERTIFICATION,NOTES
AST_DUNGEON_KITS,DGN_01..06,DUNGEON,ENVIRONMENT_KIT,ALL,DGN_01..06,10-60,,,Six dungeon environment kits,Dungeon traversal,P1,LAUNCH,PARTIAL,world/dungeons;references/source_sheets/kit_13;kit_14;kit_15,YES,6,1,static,12,72,source,extract and normalize,MIXED,tile or footprint,NO,ground;walls;foreground,NONE,YES,NO,NO,tiling collision and occlusion,MEDIUM,YES,YES,AST_WORLD_GROUND,world/dungeons/<dgn>/,DGN_01,CARD_DGN_TEMPLATE,12 modules,fixed oblique,world scale,seam-safe,footprint,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,hazard sockets,depth layers,static,catalog dungeon sources,STATIC_CERTIFIED,Readiness says 7 production plus 3 source/reference
AST_RAID_KITS,RAID_01..03,RAID,ENVIRONMENT_KIT,ALL,RAID_01..03,60,,,Three raid arena kits,Raid mechanics,P1,ENDGAME,PARTIAL,world/dungeons raid entrances,YES,3,1,static|hazard,16,48,source,normalize and LOD,MIXED,tile or footprint,NO,ground;arena;foreground,NONE,YES,NO,NO,hazards and occlusion,HIGH,YES,YES,AST_DUNGEON_KITS,world/raids/<raid>/,RAID_01,CARD_RAID_TEMPLATE,16 modules,fixed oblique,arena scale,seam-safe,footprint,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,hazard sockets,depth layers,static,catalog raid entrances,STATIC_CERTIFIED,Only entrances are evidenced
AST_PETS,PET_01..08,PET,FULL_SET,ALL,ALL,8-60,,,Eight pet directional sets,Collection and combat support,P1,LAUNCH,MISSING,none,YES,8,4,idle|move|skill|hit,8,256,384x384,normalize,STRAIGHT_ALPHA,ground contact,NO,body,skill|vfx,YES,YES,YES,movement tween,MEDIUM,NO,NO,AST_MON_STD_IDLE,characters/pets/<pet>/<state>/,PET_01,CARD_COMPANION_TEMPLATE,1 idle+4 move+2 skill+1 hit,cardinals,small,padded,contact stable,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,skill_origin,foot-depth sort,companion profile,monster families,FOUR_CARDINAL_PENDING,8 x4 x8 outputs
AST_PARTNERS,PARTNER_01..04,PARTNER,FULL_SET,ALL,ALL,15-60,,,Four partner directional combat sets,AI party role,P1,LAUNCH,MISSING,none,YES,4,8,idle|move|attack|hit|defeated,9,288,512x512,normalize,STRAIGHT_ALPHA,"256;468",NO,body;equipment,head|hands|vfx,YES,YES,YES,AI and timing,HIGH,NO,NO,AST_CLASS_C01_MELEE..AST_CLASS_C04_SUPPORT,characters/partners/<partner>/<state>/,PARTNER_01,CARD_COMPANION_TEMPLATE,1 idle+4 move+2 attack+1 hit+1 defeated,8 directions,player scale,padded,feet fixed,required,required,optional,required,foot-depth sort,class profile,class references,EIGHT_DIRECTION_PENDING,4 x8 x9 outputs
AST_FAIRIES,FAIRY_01..06,FAIRY,FULL_SET,ALL,ALL,10-60,,,Six elemental fairy sets,Visible build modifier,P1,LAUNCH,MISSING,none,YES,6,4,idle|move|skill,7,168,384x384,normalize,STRAIGHT_ALPHA,hover center,YES,body;glow,skill|vfx,YES,YES,YES,hover and particles,MEDIUM,NO,NO,AST_SP_BODIES,characters/fairies/<fairy>/<state>/,FAIRY_01,CARD_COMPANION_TEMPLATE,1 idle+4 move+2 skill,cardinals,small hover,padded,hover point,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,skill_origin,glow behind/front,fairy profile,VFX magic support,FOUR_CARDINAL_PENDING,6 x4 x7 outputs
AST_ITEM_ICONS,EQ_T01..06,ITEM_ICON,EQUIPMENT_AND_LOOT,ALL,ALL,1-60,,,Equipment materials consumables and quest icons,Inventory recognition,P1,LAUNCH,PARTIAL,items/;ui/inventory,YES,180,1,icon,1,180,256x256,export 128 and 64,STRAIGHT_ALPHA,center,YES,icon,NONE,NO,NOT_REQUIRED,NO,downscale,LOW,YES,NO,AST_EQ_WEAPONS,ui/icons/items/<id>.png,ICON_01,CARD_ICON_TEMPLATE,three-quarter object,front,80% canvas,"16px padding",NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,screen-space,NOT_REQUIRED,catalog items,FRONT_CERTIFIED,Launch identity count includes gear loot crafting quest consumables
AST_SKILL_ICONS,SKILL_C01_01..SKILL_C04_03,SKILL_ICON,SKILLS,,,,,,Forty-eight base skill icons plus thirty-two Mantle icons,Skill readability,P1,LAUNCH,MISSING,ui/skills/skill_button.png,YES,80,1,icon,1,80,256x256,export 128 and 64,STRAIGHT_ALPHA,center,NO,icon,NONE,YES,NOT_REQUIRED,NO,downscale,LOW,YES,NO,AST_CLASS_C01_MELEE..AST_SP_ACTIONS,ui/icons/skills/<id>.png,ICON_02,CARD_ICON_TEMPLATE,graphic glyph,front,80% canvas,"16px padding",NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,screen-space,NOT_REQUIRED,combat/vfx,FRONT_CERTIFIED,12 families x4 base skills plus 8 Mantles x4
AST_SKILL_VFX,SKILL_C01_01..SKILL_C04_03,VFX,SKILLS,,,,,,Base and Mantle skill VFX families,Combat readability,P1,LAUNCH,PARTIAL,combat/vfx,YES,80,1,start|peak|resolve,3,240,512x512,scale by socket,STRAIGHT_ALPHA,center,YES,behind|front,vfx_socket,NOT_REQUIRED,NO,NO,particle timing,MEDIUM,YES,YES,AST_CLASS_C01_MELEE..AST_SP_ACTIONS,combat/vfx/skills/<id>/<phase>.png,VFX_01,CARD_VFX_TEMPLATE,3 keyframes,camera-facing,effect scale,padded,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,center,split depth,skill profile,combat/vfx catalog,CAMERA_FACING,Existing melee slash and magic support seed style
AST_PROJECTILES,SKILL_C02_01..SKILL_C03_03,PROJECTILE,SKILLS,,,,,,Ranged and magic projectile families,Trajectory feedback,P1,LAUNCH,PARTIAL,combat/projectiles,YES,24,1,flight|impact,2,48,256x256,scale by socket,STRAIGHT_ALPHA,center,YES,flight|impact,vfx_socket,NOT_REQUIRED,NO,NO,trajectory and rotation,LOW,YES,NO,AST_SKILL_VFX,combat/projectiles/<id>/<state>.png,VFX_02,CARD_VFX_TEMPLATE,flight and impact,profile,small,padded,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,center,screen depth,projectile profile,combat/projectiles/06_arrow_hit.png,PROFILE_CERTIFIED_PENDING,Catalog arrow impact exists
AST_PVP_PRESENTATION,PVP_01..03,PVP,UI_AND_ARENA,ALL,PVP_01..03,10-60,,,Duel 3v3 and 8v8 arenas and overlays,PvP readability,P2,ENDGAME,MISSING,ui/target;ui/hud,YES,3,2,arena|landscape_ui|portrait_ui,3,9,mixed,responsive,MIXED,anchors,YES,ground and screen,NONE,YES,YES,NO,team tint and responsive UI,MEDIUM,YES,YES,AST_UI_HUD_CORE;AST_WORLD_GROUND,world/pvp/<mode>/;ui/layouts/pvp/,PVP_01,CARD_PVP_TEMPLATE,arena plus two layouts,fixed camera,arena scale,safe area,footprint,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,hazard sockets,team depth,match profile,world and UI references,ORIENTATION_CERTIFIED_PENDING,No fake per-combatant art counted
AST_AUDIO_PLACEHOLDER,END_01,AUDIO,NOT_ART,,,,,,Audio is separately budgeted outside authored visual output,Prevents visual count inflation,P2,POSTLAUNCH,NOT_REQUIRED,none,NO,0,0,none,0,0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NO,NO,NO,audio system,NOT_REQUIRED,NO,NO,,audio/,AUDIO_PLAN,NONE,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,none,NOT_REQUIRED,Explicitly excluded from visual authored-output sum
